deviceId,water_temp,air_temp,ph,timestamp,month,day,hours
esp8266_C5CBC1,25.88,20.94,5.815844,2019-05-23 02:43:23.411 UTC,5,23,2
esp8266_C5CBC1,25.94,20.94,5.7745,2019-05-23 02:43:28.408 UTC,5,23,2
esp8266_C5CBC1,25.88,20.94,5.907062,2019-05-23 02:43:33.965 UTC,5,23,2
esp8266_C5CBC1,25.81,20.94,6.02125,2019-05-23 02:43:38.412 UTC,5,23,2
esp8266_C5CBC1,25.75,20.94,5.969406,2019-05-23 02:43:43.41 UTC,5,23,2
esp8266_C5CBC1,25.81,20.94,5.952344,2019-05-23 02:43:48.409 UTC,5,23,2
esp8266_C5CBC1,25.88,20.94,5.995656,2019-05-23 02:43:53.438 UTC,5,23,2
esp8266_C5CBC1,25.94,20.94,5.91625,2019-05-23 02:43:58.411 UTC,5,23,2
esp8266_C5CBC1,25.88,20.94,5.891312,2019-05-23 02:44:03.426 UTC,5,23,2
esp8266_C5CBC1,25.94,20.94,5.82175,2019-05-23 02:44:08.409 UTC,5,23,2
esp8266_C5CBC1,25.88,20.94,5.81125,2019-05-23 02:44:13.42 UTC,5,23,2
esp8266_C5CBC1,25.88,20.94,5.793531,2019-05-23 02:44:18.419 UTC,5,23,2
esp8266_C5CBC1,25.94,20.94,5.794188,2019-05-23 02:44:23.41 UTC,5,23,2
esp8266_C5CBC1,25.94,21,5.819125,2019-05-23 02:44:28.418 UTC,5,23,2
esp8266_C5CBC1,25.75,20.94,5.822406,2019-05-23 02:44:33.418 UTC,5,23,2
esp8266_C5CBC1,25.88,20.94,5.873594,2019-05-23 02:44:38.412 UTC,5,23,2
esp8266_C5CBC1,25.88,20.94,5.912312,2019-05-23 02:44:43.416 UTC,5,23,2
esp8266_C5CBC1,25.81,20.94,5.930688,2019-05-23 02:44:48.43 UTC,5,23,2
esp8266_C5CBC1,25.69,20.94,5.823719,2019-05-23 02:44:53.414 UTC,5,23,2
esp8266_C5CBC1,25.81,20.94,5.815844,2019-05-23 02:44:58.409 UTC,5,23,2
esp8266_C5CBC1,25.88,20.94,5.804687,2019-05-23 02:45:03.411 UTC,5,23,2
esp8266_C5CBC1,25.94,20.94,5.788281,2019-05-23 02:45:08.415 UTC,5,23,2
esp8266_C5CBC1,25.88,20.94,5.918219,2019-05-23 02:45:13.406 UTC,5,23,2
esp8266_C5CBC1,25.94,20.94,5.773187,2019-05-23 02:45:18.414 UTC,5,23,2
esp8266_C5CBC1,25.81,20.94,5.981875,2019-05-23 02:45:23.414 UTC,5,23,2
esp8266_C5CBC1,25.75,20.94,5.9845,2019-05-23 02:45:28.407 UTC,5,23,2
esp8266_C5CBC1,25.88,20.94,6.029125,2019-05-23 02:45:33.413 UTC,5,23,2
esp8266_C5CBC1,25.88,20.94,5.97925,2019-05-23 02:45:38.414 UTC,5,23,2
esp8266_C5CBC1,25.94,20.94,5.854562,2019-05-23 02:45:43.413 UTC,5,23,2
esp8266_C5CBC1,25.88,20.94,5.874906,2019-05-23 02:45:48.42 UTC,5,23,2
esp8266_C5CBC1,25.94,20.94,5.767937,2019-05-23 02:45:53.415 UTC,5,23,2
esp8266_C5CBC1,25.88,20.94,5.809281,2019-05-23 02:45:58.409 UTC,5,23,2
esp8266_C5CBC1,25.94,20.94,5.770562,2019-05-23 02:46:03.418 UTC,5,23,2
esp8266_C5CBC1,25.81,20.94,5.786313,2019-05-23 02:46:08.419 UTC,5,23,2
esp8266_C5CBC1,25.94,21,5.96875,2019-05-23 02:46:13.416 UTC,5,23,2
esp8266_C5CBC1,25.88,20.94,5.883438,2019-05-23 02:46:18.409 UTC,5,23,2
esp8266_C5CBC1,25.94,20.94,5.918875,2019-05-23 02:46:23.415 UTC,5,23,2
esp8266_C5CBC1,25.88,20.94,5.9425,2019-05-23 02:46:28.415 UTC,5,23,2
esp8266_C5CBC1,25.81,20.94,5.90575,2019-05-23 02:46:33.415 UTC,5,23,2
esp8266_C5CBC1,25.94,20.94,5.807312,2019-05-23 02:46:38.412 UTC,5,23,2
esp8266_C5CBC1,25.88,20.94,5.786313,2019-05-23 02:46:43.424 UTC,5,23,2
esp8266_C5CBC1,25.88,20.94,5.785656,2019-05-23 02:46:48.417 UTC,5,23,2
esp8266_C5CBC1,25.88,20.94,5.814531,2019-05-23 02:46:53.427 UTC,5,23,2
esp8266_C5CBC1,25.94,20.94,5.815844,2019-05-23 02:46:58.419 UTC,5,23,2
esp8266_C5CBC1,25.88,20.94,5.813875,2019-05-23 02:47:03.445 UTC,5,23,2
esp8266_C5CBC1,25.94,20.94,5.815187,2019-05-23 02:47:08.409 UTC,5,23,2
esp8266_C5CBC1,25.88,20.94,5.817812,2019-05-23 02:47:13.415 UTC,5,23,2
esp8266_C5CBC1,25.94,20.94,5.915594,2019-05-23 02:47:18.42 UTC,5,23,2
esp8266_C5CBC1,25.81,20.94,5.997625,2019-05-23 02:47:23.419 UTC,5,23,2
esp8266_C5CBC1,25.94,20.94,5.986469,2019-05-23 02:47:28.416 UTC,5,23,2
esp8266_C5CBC1,25.88,20.94,5.964156,2019-05-23 02:47:33.424 UTC,5,23,2
esp8266_C5CBC1,25.94,20.94,5.893938,2019-05-23 02:47:38.41 UTC,5,23,2
esp8266_C5CBC1,25.88,20.94,5.717406,2019-05-23 02:47:43.421 UTC,5,23,2
esp8266_C5CBC1,25.75,20.94,5.817812,2019-05-23 02:47:48.414 UTC,5,23,2
esp8266_C5CBC1,25.81,20.94,5.889344,2019-05-23 02:47:53.423 UTC,5,23,2
esp8266_C5CBC1,25.81,20.94,5.862437,2019-05-23 02:47:58.414 UTC,5,23,2
esp8266_C5CBC1,25.88,20.94,5.823062,2019-05-23 02:48:03.433 UTC,5,23,2
esp8266_C5CBC1,25.81,20.94,5.760062,2019-05-23 02:48:08.421 UTC,5,23,2
esp8266_C5CBC1,26,20.94,5.763344,2019-05-23 02:48:13.409 UTC,5,23,2
esp8266_C5CBC1,25.88,20.94,5.720687,2019-05-23 02:48:18.42 UTC,5,23,2
esp8266_C5CBC1,25.88,20.94,5.922813,2019-05-23 02:48:23.417 UTC,5,23,2
esp8266_C5CBC1,25.81,20.94,6.000906,2019-05-23 02:48:28.421 UTC,5,23,2
esp8266_C5CBC1,25.88,20.94,5.985156,2019-05-23 02:48:33.425 UTC,5,23,2
esp8266_C5CBC1,25.88,20.94,5.91625,2019-05-23 02:48:38.416 UTC,5,23,2
esp8266_C5CBC1,25.81,20.94,5.800094,2019-05-23 02:48:43.412 UTC,5,23,2
esp8266_C5CBC1,25.94,20.94,5.833563,2019-05-23 02:48:48.419 UTC,5,23,2
esp8266_C5CBC1,25.88,20.94,5.809937,2019-05-23 02:48:53.425 UTC,5,23,2
esp8266_C5CBC1,25.81,20.94,5.884094,2019-05-23 02:48:58.437 UTC,5,23,2
esp8266_C5CBC1,25.81,20.94,5.907062,2019-05-23 02:49:03.414 UTC,5,23,2
esp8266_C5CBC1,25.81,20.94,5.939875,2019-05-23 02:49:08.411 UTC,5,23,2
esp8266_C5CBC1,25.88,20.94,5.892625,2019-05-23 02:49:13.421 UTC,5,23,2
esp8266_C5CBC1,25.88,20.94,5.794188,2019-05-23 02:49:18.427 UTC,5,23,2
esp8266_C5CBC1,25.88,20.94,5.784344,2019-05-23 02:49:23.418 UTC,5,23,2
esp8266_C5CBC1,25.94,20.94,5.813219,2019-05-23 02:49:28.415 UTC,5,23,2
esp8266_C5CBC1,25.88,20.94,5.829625,2019-05-23 02:49:33.41 UTC,5,23,2
esp8266_C5CBC1,25.94,20.94,5.726594,2019-05-23 02:49:38.413 UTC,5,23,2
esp8266_C5CBC1,25.94,20.94,5.76925,2019-05-23 02:49:43.411 UTC,5,23,2
esp8266_C5CBC1,25.88,20.94,5.789594,2019-05-23 02:49:48.421 UTC,5,23,2
esp8266_C5CBC1,25.88,20.94,5.769906,2019-05-23 02:49:53.419 UTC,5,23,2
esp8266_C5CBC1,25.75,20.94,5.808625,2019-05-23 02:49:58.42 UTC,5,23,2
esp8266_C5CBC1,25.81,20.94,5.798781,2019-05-23 02:50:03.411 UTC,5,23,2
esp8266_C5CBC1,26,20.94,5.782375,2019-05-23 02:50:08.431 UTC,5,23,2
esp8266_C5CBC1,25.88,20.94,5.887375,2019-05-23 02:50:13.413 UTC,5,23,2
esp8266_C5CBC1,25.81,20.94,5.932,2019-05-23 02:50:18.415 UTC,5,23,2
esp8266_C5CBC1,25.94,20.94,5.950375,2019-05-23 02:50:23.412 UTC,5,23,2
esp8266_C5CBC1,25.94,20.94,5.92675,2019-05-23 02:50:28.414 UTC,5,23,2
esp8266_C5CBC1,25.88,20.94,5.907062,2019-05-23 02:50:33.423 UTC,5,23,2
esp8266_C5CBC1,25.88,20.94,5.830938,2019-05-23 02:50:38.415 UTC,5,23,2
esp8266_C5CBC1,25.88,20.94,5.802062,2019-05-23 02:50:43.418 UTC,5,23,2
esp8266_C5CBC1,25.81,20.94,5.754156,2019-05-23 02:50:48.414 UTC,5,23,2
esp8266_C5CBC1,25.88,20.94,5.807969,2019-05-23 02:50:53.413 UTC,5,23,2
esp8266_C5CBC1,26,21,5.909031,2019-05-23 02:50:58.42 UTC,5,23,2
esp8266_C5CBC1,25.94,20.94,5.836188,2019-05-23 02:51:03.415 UTC,5,23,2
esp8266_C5CBC1,25.94,21,5.933969,2019-05-23 02:51:08.41 UTC,5,23,2
esp8266_C5CBC1,25.88,21,5.751531,2019-05-23 02:51:13.419 UTC,5,23,2
esp8266_C5CBC1,25.94,21,5.849312,2019-05-23 02:51:18.42 UTC,5,23,2
esp8266_C5CBC1,25.81,20.94,6.0055,2019-05-23 02:51:24.317 UTC,5,23,2
esp8266_C5CBC1,25.88,20.94,5.996969,2019-05-23 02:51:28.42 UTC,5,23,2
